coll_nom;coll_siret;delib_id;delib_date;delib_matiere_code;delib_matiere_nom;delib_objet;instance_type;instance;delib_url;delib_theme_nom
TE44;20001492600030;CS-2026-022;2026-03-09;;Finances;CS-2026-022_Compte administratif 2025;Comité;Comité du Lundi 9 Mars 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQANwGpKkMa4Ro58LqHaC-dAAY_IhmoHEm_wp3iV1pyOy7A?e=ZPeHgc;
TE44;20001492600030;CS-2026-023;2026-03-09;;Finances;CS-2026-023_Affectation des résultats 2025;Comité;Comité du Lundi 9 Mars 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQBlsahEuPRqQ5Zgu1FEMkOGAUYoXVr0iBkTa7P-6KEVtdU?e=glQqy8;
TE44;20001492600030;CS-2026-024;2026-03-09;;Finances;CS-2026-024_Budget supplémentaire 2026;Comité;Comité du Lundi 9 Mars 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQDQOtIolQVZQoHOWea5YaH3AeYOrYb83DN6SeYA_pMGpio?e=mb4O97;
TE44;20001492600030;CS-2026-014;2026-02-26;;Production EnR;CS-2026-014_Prolongation_expérimentation_PMO;Comité;Comité du Jeudi 26 Février 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQCvd9R6q-9FS6KrC6iIK4jXAfUVfryrxg_k9TIP5v1G_1U?e=7bZdLo;
TE44;20001492600030;BS-2026-010;2026-02-05;;Moyens géneraux;BS-2026-010_Lancement d'un marché public AMO projets organisationnels TE44;Bureau;Bureau du Jeudi 5 Février 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQDJanYrIpw-RavtcKSn585NAbkXVJZn9xHIdB8w2WX0qUQ?e=Ab0Rg6;commande publique
TE44;20001492600030;BS-2026-007;2026-01-22;;Ressources Humaines;BS-2026-007 Convention adhésion offre de service de santé au travail du CDG44;Bureau;Bureau du Jeudi 22 Janvier 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQACJ2EsGKF0Qama-zWxp3uVAYtCW3YhupWxhOMjtj-IX8A?e=xkVrH5;
TE44;20001492600030;BS-2026-001;2026-01-22;;Commande Publique;"BS-2026-001_Lancement d'un marché public ""Accompagnement et renfort aux projets informatiques de TE44""";Bureau;Bureau du Jeudi 22 Janvier 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQDMF974msDpRJHdkcX2eU7FAe8L0eb-BaWiL997buMiQ5E?e=1byVt7;commande publique
TE44;20001492600030;CS-2026-006;2026-01-15;;Production EnR;CS-2026-006_Mise en oeuvre de la compétence Systèmes thermiques locaux;Comité;Comité du Jeudi 15 Janvier 2026;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQDa-MEP7jqhSaJaFDXqiV3vAdLsJ4qRVZB5HW8XL3kdxEk?e=EQCFek;
TE44;20001492600030;CS-2025-077;2025-12-04;;L.A. GéoData;CS-2025-077_Règles financières - licence d'utilisation PCRS à destination des opérateurs télécoms;Comité;Comité du Jeudi 4 Décembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQAEmEAdzysCSqbiBMuziV-XAUbSfuL7SCPjDw92aJFsiDk?e=wpWXcB;règles financières
TE44;20001492600030;CS-2025-078_Annexe 3;2025-12-04;;L.A. GéoData;CS-2025-078_Annexe 3 PCRS VECTEUR 2_Modèle d’accord de partenariat;Comité;Comité du Jeudi 4 Décembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/IQDoArMRnA3hSZ3nOvD-GerIAS1vHEz1loaRtuR_QYoK0_E?e=vAuZHZ;convention
TE44;20001492600030;CS-2025-057;2025-09-25;;Eclairage public;CS-2025-057 Eclairage public_Règles financières spécifiques;Comité;Comité du Jeudi 25 Septembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EVe9i0wQJnhNskqfT-CvVtEBMlyVaRBxcvIv5f2dw02GAw?e=TPq4ng;règles financières
TE44;20001492600030;CS-2025-065;2025-09-25;;Ressources Humaines;CS-2025-065 Modification du tableau des effectifs;Comité;Comité du Jeudi 25 Septembre 2025;https://sydela.sharepoint.com/:b:/s/DeliberationsTE44/EceE-UQ_xDFBsCSiUPFb-Q8BmyllH62yhh8-W81aXZHslw?e=DJMtkS;
